replication_id,platform_id,pos_x_km,pos_y_km,waypoint_x_km,waypoint_y_km,timestamp_minutes,team,heading,speed_kmh,status,target_platform_id,detection_made,detection_sensor_name,detection_distance_m
0,Blue_1,0.02,0.06,0.01,0.06,0.0,Blue,0.0,0.0,active,,False,,
0,Red_1,0.03,0.06,0.08,0.06,0.0,Red,0.0,0.0,active,,False,,
0,Blue_1,0.02,0.06,0.01,0.06,16.666666666666668,Blue,0.0,0.0,active,,False,,
0,Red_1,0.03,0.06,0.08,0.06,16.666666666666668,Red,0.0,0.0,active,,False,,
1,Blue_1,0.02,0.05,0.08,0.09,0.0,Blue,0.0,0.0,active,,False,,
1,Red_1,0.1,0.05,0.06,0.07,0.0,Red,0.0,0.0,active,,False,,
1,Blue_1,0.02,0.05,0.08,0.09,16.666666666666668,Blue,0.0,0.0,active,,False,,
1,Red_1,0.1,0.05,0.06,0.07,16.666666666666668,Red,0.0,0.0,active,,False,,
2,Blue_1,0.03,0.03,0.05,0.09,0.0,Blue,0.0,0.0,active,,False,,
2,Red_1,0.08,0.08,0.01,0.02,0.0,Red,0.0,0.0,active,,False,,
2,Blue_1,0.03,0.03,0.05,0.09,16.666666666666668,Blue,0.0,0.0,active,,False,,
2,Red_1,0.08,0.08,0.01,0.02,16.666666666666668,Red,0.0,0.0,active,,False,,
