replication_id,platform_id,pos_x_km,pos_y_km,waypoint_x_km,waypoint_y_km,timestamp_minutes,team,heading,speed_kmh,status,target_platform_id,detection_made,detection_sensor_name,detection_distance_m
0,Blue_1,0.87,0.65,0.45,0.09,0.0,Blue,0.0,0.0,active,,False,,
0,Red_1,0.25,0.65,0.04,0.07,0.0,Red,0.0,0.0,active,,False,,
0,Blue_1,0.87,0.65,0.45,0.09,16.666666666666668,Blue,0.0,0.0,active,,False,,
0,Red_1,0.25,0.65,0.04,0.07,16.666666666666668,Red,0.0,0.0,active,,False,,
1,Blue_1,0.43,0.28,0.6,0.41,0.0,Blue,0.0,0.0,active,,False,,
1,Red_1,0.38,1.0,0.34,0.18,0.0,Red,0.0,0.0,active,,False,,
1,Blue_1,0.43,0.28,0.6,0.41,16.666666666666668,Blue,0.0,0.0,active,,False,,
1,Red_1,0.38,1.0,0.34,0.18,16.666666666666668,Red,0.0,0.0,active,,False,,
2,Blue_1,0.52,0.7,0.53,0.27,0.0,Blue,0.0,0.0,active,,False,,
2,Red_1,0.07,0.49,0.79,0.75,0.0,Red,0.0,0.0,active,,False,,
2,Blue_1,0.52,0.7,0.53,0.27,16.666666666666668,Blue,0.0,0.0,active,,False,,
2,Red_1,0.07,0.49,0.79,0.75,16.666666666666668,Red,0.0,0.0,active,,False,,
